,Open Bid_x,Open Bid_y,weekday_y,Short Swap USDDKK,Long Swap USDDKK
2005-01-01,2.23,2.1,5,-1.9185852519185853e-06,2.5799793601650866e-07
2005-01-02,2.23,2.015,6,-2.627627627627629e-06,-3.009975920192673e-07
2005-01-03,2.16,2.14,0,-1.4266532393420617e-06,-7.032348804500679e-07
2005-01-04,2.27,2.015,1,-2.777777777777777e-06,4.2473666326876056e-08
2005-01-05,2.25,2.07,2,-5.808080808080809e-06,7.692307692307628e-07
2005-01-06,2.23,2.07,3,-2.168835502168836e-06,8.599931200550187e-08
2005-01-07,2.23,2.015,4,-2.627627627627629e-06,-3.009975920192673e-07
2005-01-08,2.26,2.08,5,-2.162341982701263e-06,6.81663258350371e-07
2005-01-09,2.26,2.05,6,-2.4118429807052553e-06,5.112474437627782e-07
2005-01-10,2.23,2.015,0,-2.3989898989898976e-06,-3.009975920192673e-07
2005-01-11,2.26,2.07,1,-2.168835502168836e-06,3.408316291751855e-07
2005-01-12,2.27,2.015,2,-7.196969696969693e-06,1.2742099898062818e-07
2005-01-13,2.27,2.07,3,-2.3217247097844134e-06,4.2473666326877287e-07
2005-01-14,2.24,2.015,4,-2.627627627627629e-06,-2.143347050754437e-07
2005-01-15,2.25,2.05,5,-2.1043771043771055e-06,4.273504273504259e-07
2005-01-16,2.25,2.05,6,-2.026342451874367e-06,4.273504273504259e-07
2005-01-17,2.25,2.015,0,-2.702927478376579e-06,-1.2820512820513022e-07
2005-01-18,2.25,2.07,1,-2.09170013386881e-06,2.5641025641025425e-07
2005-01-19,2.27,2.015,2,-8.33333333333333e-06,1.2742099898062818e-07
2005-01-20,2.26,2.015,3,-2.702927478376579e-06,-4.2603953646901274e-08
2005-01-21,2.27,2.015,4,-2.4756629741523995e-06,4.2473666326876056e-08
2005-01-22,2.27,2.05,5,-2.2590361445783136e-06,5.946313285762802e-07
2005-01-23,2.27,2.05,6,-2.2590361445783136e-06,5.946313285762802e-07
2005-01-24,2.3,2.09,0,-2.383300460223537e-06,5.050505050505022e-07
2005-01-25,2.3,2.015,1,-2.627627627627629e-06,2.946127946127919e-07
2005-01-26,2.28,2.015,2,-8.778437190900101e-06,3.8109756097560554e-07
2005-01-27,2.4,2.12,3,-2.5839793281653727e-06,1.0620915032679732e-06
2005-01-28,2.47,2.015,4,-4.186228482003127e-06,1.6410502721741924e-06
2005-01-29,2.49,2.015,5,-4.3183940242763745e-06,1.7908309455587387e-06
2005-01-30,2.45,2.015,6,-4.186228482003127e-06,1.4895330112721435e-06
2005-01-31,2.46,2.015,0,-4.252496878901372e-06,1.565510597302502e-06
2005-02-01,2.51,2.07,1,-3.6880100439422486e-06,2.2950300728078465e-06
2005-02-02,2.46,2.015,2,-1.2757490636704116e-05,4.696531791907506e-06
2005-02-03,2.46,2.07,3,-3.823345817727842e-06,1.926782273603082e-06
2005-02-04,2.51,2.015,4,-4.119585687382296e-06,1.9389047166824916e-06
2005-02-05,2.49,2.05,5,-3.708964646464647e-06,1.9102196752626576e-06
2005-02-06,2.48,2.05,6,-4.11235257603973e-06,1.8358876117496806e-06
2005-02-07,2.52,2.025,0,-4.041117388575016e-06,1.933396464646464e-06
2005-02-08,2.52,2.025,1,-4.436728395061731e-06,1.933396464646464e-06
2005-02-09,2.46,2.015,2,-1.2757490636704116e-05,4.696531791907506e-06
2005-02-10,2.46,2.05,3,-3.979400749063673e-06,1.6859344894026976e-06
2005-02-11,2.51,2.07,4,-4.023522129371713e-06,1.8993352326685653e-06
2005-02-12,2.52,2.1,5,-3.5211267605633787e-06,1.7361111111111112e-06
2005-02-13,2.47,2.1,6,-3.657018362900715e-06,1.3608709574127464e-06
2005-02-14,2.46,2.07,0,-3.823345817727842e-06,1.5253692999357723e-06
2005-02-15,2.46,2.025,1,-4.174469413233459e-06,1.4852280025690428e-06
2005-02-16,2.51,2.025,2,-1.2123352165725047e-05,5.579297245963908e-06
2005-02-17,2.52,2.06,3,-3.83411580594679e-06,2.4463383838383854e-06
2005-02-18,2.48,2.025,4,-4.371711544413493e-06,1.6363346104725413e-06
2005-02-19,2.51,2.015,5,-4.449086969978332e-06,1.9389047166824916e-06
2005-02-20,2.51,2.015,6,-4.252496878901372e-06,1.9389047166824916e-06
2005-02-21,2.47,2.015,0,-4.3183940242763745e-06,1.6410502721741924e-06
2005-02-22,2.49,2.08,1,-3.94614670380687e-06,2.069404648201212e-06
2005-02-23,2.51,2.06,2,-1.2302692664809656e-05,5.9354226020892735e-06
2005-02-24,2.48,2.05,3,-4.11235257603973e-06,1.8358876117496806e-06
2005-02-25,2.52,2.11,4,-3.7808641975308666e-06,1.6571969696969706e-06
2005-02-26,2.5,2.1,5,-3.5211267605633787e-06,2.3809523809523786e-06
2005-02-27,2.5,2.07,6,-3.6880100439422486e-06,2.2222222222222212e-06
2005-02-28,2.49,2.015,0,-4.449086969978332e-06,1.7908309455587387e-06
2005-03-01,2.51,2.08,1,-3.94614670380687e-06,2.215891104779991e-06
2005-03-02,2.47,2.07,2,-1.1671335200746971e-05,6.0038424591738755e-06
2005-03-03,2.47,2.04,3,-4.123871770930592e-06,1.8411783541466524e-06
2005-03-04,2.52,2.04,4,-3.923414940364094e-06,2.2095959595959574e-06
2005-03-05,2.52,2.04,5,-3.923414940364094e-06,2.2095959595959574e-06
2005-03-06,2.48,2.04,6,-4.189944134078213e-06,1.915708812260534e-06
2005-03-07,2.52,2.015,0,-4.252496878901372e-06,2.0123106060606047e-06
2005-03-08,2.47,2.06,1,-3.968253968253966e-06,2.0813320525136112e-06
2005-03-09,2.48,2.04,2,-1.2569832402234639e-05,6.9444444444444465e-06
2005-03-10,2.53,2.015,3,-4.186228482003127e-06,2.085300598048472e-06
2005-03-11,2.5,2.12,4,-3.703703703703703e-06,2.2222222222222212e-06
2005-03-12,2.56,2.12,5,-3.703703703703703e-06,2.6529338327091135e-06
2005-03-13,2.58,2.12,6,-3.703703703703703e-06,2.793296089385475e-06
2005-03-14,2.59,2.07,0,-4.2203806015960746e-06,2.8628907458990996e-06
2005-03-15,2.63,2.07,1,-4.477838494231939e-06,3.1374349556167714e-06
2005-03-16,2.66,2.015,2,-1.6511524822695033e-05,8.993624772313293e-06
2005-03-17,2.73,2.13,3,-4.6542553191489345e-06,3.7235627047959484e-06
2005-03-18,2.7,2.015,4,-5.73830409356725e-06,3.2657657657657664e-06
2005-03-19,2.71,2.07,5,-5.395158938466026e-06,4.0431266846361185e-06
2005-03-20,2.73,2.04,6,-5.555555555555554e-06,4.021447721179624e-06
2005-03-21,2.72,2.015,0,-5.853694008144267e-06,3.397550776583035e-06
2005-03-22,2.77,2.015,1,-6.024531024531025e-06,3.7208959622752707e-06
2005-03-23,2.78,2.015,2,-1.7388451443569552e-05,1.135361552028218e-05
2005-03-24,2.77,2.015,3,-6.024531024531025e-06,3.7208959622752707e-06
2005-03-25,2.74,2.07,4,-5.57002314814815e-06,3.86215092097445e-06
2005-03-26,2.75,2.07,5,-5.62770562770563e-06,3.9259259259259255e-06
2005-03-27,2.75,2.07,6,-5.62770562770563e-06,3.9259259259259255e-06
2005-03-28,2.74,2.07,0,-5.57002314814815e-06,3.86215092097445e-06
2005-03-29,2.78,2.015,1,-6.08088658606793e-06,3.7845385067607267e-06
2005-03-30,2.72,2.015,2,-1.7561082024432802e-05,1.0192652329749105e-05
2005-03-31,2.72,2.14,3,-4.9447353112274564e-06,3.5842293906810035e-06
2005-04-01,2.78,2.015,4,-6.08088658606793e-06,3.7845385067607267e-06
2005-04-02,2.76,2.08,5,-5.497685185185184e-06,4.284869976359336e-06
2005-04-03,2.76,2.015,6,-5.967881944444441e-06,3.6569148936170184e-06
2005-04-04,2.74,2.015,0,-5.967881944444441e-06,3.5279263220439704e-06
2005-04-05,2.77,2.07,1,-5.62770562770563e-06,4.052460949012673e-06
2005-04-06,2.76,2.07,2,-1.636125654450262e-05,1.1968085106382968e-05
2005-04-07,2.69,2.015,3,-5.680152447962473e-06,3.1993375489310424e-06
2005-04-08,2.7,2.08,4,-5.26315789473684e-06,3.52852852852853e-06
2005-04-09,2.76,2.12,5,-5.20833333333333e-06,3.989361702127656e-06
2005-04-10,2.76,2.12,6,-5.20833333333333e-06,3.989361702127656e-06
2005-04-11,2.77,2.015,0,-6.024531024531025e-06,3.7208959622752707e-06
2005-04-12,2.74,2.08,1,-5.497685185185184e-06,3.7878787878787908e-06
2005-04-13,2.72,2.1,2,-1.570680628272251e-05,1.0528673835125449e-05
2005-04-14,2.73,2.015,3,-5.910937046707282e-06,3.4629133154602316e-06
2005-04-15,2.8,2.07,4,-5.512039454598204e-06,4.2397660818713425e-06
2005-04-16,2.77,2.015,5,-6.024531024531025e-06,3.7208959622752707e-06
2005-04-17,2.77,2.015,6,-6.024531024531025e-06,3.7208959622752707e-06
2005-04-18,2.73,2.015,0,-5.910937046707282e-06,3.4629133154602316e-06
2005-04-19,2.72,2.015,1,-5.853694008144267e-06,3.397550776583035e-06
2005-04-20,2.76,2.09,2,-1.6276041666666666e-05,1.1524822695035455e-05
2005-04-21,2.8,2.1,3,-5.698005698005697e-06,4.0204678362573105e-06
2005-04-22,2.84,2.1,4,-5.5268446741314945e-06,4.267939814814813e-06
2005-04-23,2.86,2.1,5,-5.7544757033248085e-06,4.3897524467472656e-06
2005-04-24,2.86,2.1,6,-5.698005698005697e-06,4.3897524467472656e-06
2005-04-25,2.9,2.015,0,-6.467345207803224e-06,4.522792022792022e-06
2005-04-26,2.9,2.12,1,-6.1111111111111095e-06,4.487179487179487e-06
2005-04-27,2.95,2.0,2,-2.0519262981574537e-05,1.476793248945148e-05
2005-04-28,2.99,1.995,3,-7.082642343836369e-06,5.186577554998606e-06
2005-04-29,3.01,2.13,4,-6.256875687568757e-06,5.403158769742311e-06
2005-04-30,3.01,2.13,5,-6.256875687568757e-06,5.403158769742311e-06
2005-05-01,3.01,2.13,6,-6.256875687568757e-06,5.403158769742311e-06
2005-05-02,3.03,1.995,0,-7.286535303776685e-06,5.4108078301626665e-06
2005-05-03,2.98,2.1,1,-6.672113289760349e-06,5.094919039642657e-06
2005-05-04,3.01,2.1,2,-1.986076986076986e-05,1.5793848711554445e-05
2005-05-05,2.97,1.995,3,-7.3368823368823384e-06,5.072767982087883e-06
2005-05-06,2.94,1.995,4,-7.185093509350936e-06,4.89988719684151e-06
2005-05-07,2.99,1.995,5,-7.3368823368823384e-06,5.186577554998606e-06
2005-05-08,2.99,1.995,6,-7.3368823368823384e-06,5.186577554998606e-06
2005-05-09,3.02,1.995,0,-7.386982570806098e-06,5.355168601437254e-06
2005-05-10,2.98,2.12,1,-6.535947712418299e-06,5.304299274148519e-06
2005-05-11,2.96,1.995,2,-2.1859605911330053e-05,1.5046296296296288e-05
2005-05-12,2.98,1.995,3,-7.386982570806098e-06,5.1298157453936326e-06
2005-05-13,2.95,2.07,4,-6.51149903020227e-06,5.133614627285513e-06
2005-05-14,2.98,1.995,5,-7.386982570806098e-06,5.1298157453936326e-06
2005-05-15,2.98,1.995,6,-7.386982570806098e-06,5.1298157453936326e-06
2005-05-16,2.93,1.995,0,-7.031033527292878e-06,4.841673734803505e-06
2005-05-17,2.95,1.995,1,-7.031033527292878e-06,4.957805907172998e-06
2005-05-18,3.0,1.995,2,-2.1859605911330053e-05,1.5729166666666665e-05
2005-05-19,2.98,2.1,3,-6.672113289760349e-06,5.094919039642657e-06
2005-05-20,2.98,2.07,4,-6.87636165577342e-06,5.304299274148519e-06
2005-05-21,2.96,2.07,5,-6.773399014778328e-06,5.190796857463524e-06
2005-05-22,2.96,2.07,6,-6.773399014778328e-06,5.190796857463524e-06
2005-05-23,2.96,2.08,0,-6.704980842911878e-06,5.120650953984287e-06
2005-05-24,2.98,2.07,1,-6.87636165577342e-06,5.304299274148519e-06
2005-05-25,2.95,2.07,2,-2.0320197044334983e-05,1.540084388185654e-05
2005-05-26,2.99,2.07,3,-6.9274653626731876e-06,5.360623781676414e-06
2005-05-27,2.98,1.995,4,-7.386982570806098e-06,5.1298157453936326e-06
2005-05-28,3.01,1.995,5,-7.436837815810921e-06,5.299251870324189e-06
2005-05-29,3.01,1.995,6,-7.436837815810921e-06,5.299251870324189e-06
2005-05-30,2.95,1.995,0,-7.133995037220839e-06,4.957805907172998e-06
2005-05-31,3.01,2.09,1,-6.791632708503124e-06,5.333887503463561e-06
2005-06-01,3.0,2.05,2,-2.0730706075533666e-05,1.666666666666666e-05
2005-06-02,3.01,2.08,3,-6.756756756756758e-06,5.403158769742311e-06
2005-06-03,2.97,2.08,4,-6.808278867102397e-06,5.177721802406942e-06
2005-06-04,3.0,1.995,5,-7.386982570806098e-06,5.243055555555555e-06
2005-06-05,2.97,1.995,6,-7.3368823368823384e-06,5.072767982087883e-06
2005-06-06,3.01,1.995,0,-7.3368823368823384e-06,5.299251870324189e-06
2005-06-07,2.98,2.09,1,-6.740196078431373e-06,5.16471245114461e-06
2005-06-08,2.98,2.09,2,-2.0065520065520073e-05,1.549413735343383e-05
2005-06-09,2.98,2.09,3,-6.740196078431373e-06,5.16471245114461e-06
2005-06-10,2.95,2.1,4,-6.515775034293551e-06,4.9226441631504935e-06
2005-06-11,2.97,2.09,5,-6.688506688506691e-06,5.1077525888609006e-06
