,Open Bid_x,Open Bid_y,weekday_y,Long Swap USDPLN,Short Swap USDPLN
2005-01-01,2.23,6.4,5,-3.758169934640523e-05,3.3950617283950624e-05
2005-01-02,2.23,6.4,6,-3.758169934640523e-05,3.3950617283950624e-05
2005-01-03,2.16,6.46,0,-3.9556962025316456e-05,3.4827123195703256e-05
2005-01-04,2.27,6.4,1,-3.678219503907577e-05,3.358208955223881e-05
2005-01-05,2.25,6.4,2,-0.00011025641025641023,0.00010353535353535356
2005-01-06,2.23,6.4,3,-3.715170278637771e-05,3.3950617283950624e-05
2005-01-07,2.23,6.4,4,-3.715170278637771e-05,3.3950617283950624e-05
2005-01-08,2.26,6.45,5,-3.7406271301976836e-05,3.418163672654691e-05
2005-01-09,2.26,6.45,6,-3.7406271301976836e-05,3.418163672654691e-05
2005-01-10,2.23,6.44,0,-3.792569659442724e-05,3.4848484848484856e-05
2005-01-11,2.26,6.5,1,-3.7406271301976836e-05,3.478478478478479e-05
2005-01-12,2.27,6.45,2,-0.00011034658511722731,0.00010479797979797982
2005-01-13,2.27,6.45,3,-3.678219503907577e-05,3.399668325041459e-05
2005-01-14,2.24,6.5,4,-3.763717421124829e-05,3.478478478478479e-05
2005-01-15,2.25,6.0,5,-3.632478632478632e-05,3.114478114478114e-05
2005-01-16,2.25,6.0,6,-3.632478632478632e-05,3.1323877068557915e-05
2005-01-17,2.25,6.39,0,-3.709401709401709e-05,3.368263473053892e-05
2005-01-18,2.25,6.35,1,-3.6752136752136745e-05,3.3718206157965195e-05
2005-01-19,2.27,6.4,2,-0.00011034658511722731,0.00010074626865671644
2005-01-20,2.26,6.4,3,-3.655419222903886e-05,3.37658017298736e-05
2005-01-21,2.27,6.4,4,-3.678219503907577e-05,3.432359852299429e-05
2005-01-22,2.27,6.35,5,-3.6357458375807e-05,3.3718206157965195e-05
2005-01-23,2.27,6.35,6,-3.6357458375807e-05,3.3718206157965195e-05
2005-01-24,2.3,6.35,0,-3.5774410774410783e-05,3.2626561472715315e-05
2005-01-25,2.3,6.35,1,-3.535353535353536e-05,3.353353353353353e-05
2005-01-26,2.28,6.37,2,-0.00010975609756097559,9.891196834817014e-05
2005-01-27,2.4,6.45,3,-3.431372549019608e-05,3.238049095607236e-05
2005-01-28,2.47,6.4,4,-3.2660902977905856e-05,3.0125195618153373e-05
2005-01-29,2.49,6.4,5,-3.311047437121935e-05,2.9800809212573925e-05
2005-01-30,2.45,6.4,6,-3.381642512077295e-05,3.0125195618153373e-05
2005-01-31,2.46,6.35,0,-3.291586384071933e-05,2.9572409488139822e-05
2005-02-01,2.51,6.35,1,-3.19721430832542e-05,2.989642184557438e-05
2005-02-02,2.46,6.36,2,-9.754335260115606e-05,8.895131086142323e-05
2005-02-03,2.46,6.45,3,-3.323699421965318e-05,3.035268414481898e-05
2005-02-04,2.51,6.4,4,-3.236783792339348e-05,3.02887633396108e-05
2005-02-05,2.49,6.35,5,-3.231454950652658e-05,3.0224116161616158e-05
2005-02-06,2.48,6.35,6,-3.2487228607918256e-05,2.9252017380509e-05
2005-02-07,2.52,6.41,0,-3.21969696969697e-05,3.0367231638418085e-05
2005-02-08,2.52,6.47,1,-3.21969696969697e-05,2.9861111111111103e-05
2005-02-09,2.46,6.38,2,-9.922928709055879e-05,8.94194756554307e-05
2005-02-10,2.46,6.38,3,-3.307642903018626e-05,2.9806491885143567e-05
2005-02-11,2.51,6.38,4,-3.220955998733777e-05,2.9325286289074595e-05
2005-02-12,2.52,6.41,5,-3.21969696969697e-05,3.0203442879499223e-05
2005-02-13,2.47,6.41,6,-3.306115914185078e-05,2.9878618113912238e-05
2005-02-14,2.46,6.39,0,-3.315671162491972e-05,2.9884519350811475e-05
2005-02-15,2.46,6.35,1,-3.243416827231856e-05,2.9572409488139822e-05
2005-02-16,2.51,6.4,2,-9.639126305792972e-05,9.08662900188324e-05
2005-02-17,2.52,6.38,3,-3.203914141414141e-05,2.9968701095461656e-05
2005-02-18,2.48,6.35,4,-3.208812260536399e-05,2.9093160012380073e-05
2005-02-19,2.51,6.35,5,-3.19721430832542e-05,2.9093160012380073e-05
2005-02-20,2.51,6.35,6,-3.19721430832542e-05,2.9572409488139822e-05
2005-02-21,2.47,6.28,0,-3.290105667627281e-05,2.886710239651417e-05
2005-02-22,2.49,6.2,1,-3.072269977714103e-05,2.793252862890746e-05
2005-02-23,2.51,6.25,2,-9.35422602089269e-05,8.4958217270195e-05
2005-02-24,2.48,6.25,3,-3.168901660280971e-05,2.8476101800124143e-05
2005-02-25,2.52,6.25,4,-3.061868686868688e-05,2.816358024691358e-05
2005-02-26,2.5,6.05,5,-2.976190476190477e-05,2.7386541471048515e-05
2005-02-27,2.5,6.05,6,-2.976190476190477e-05,2.754237288135593e-05
2005-02-28,2.49,6.1,0,-3.0324737344794647e-05,2.7158774373259048e-05
2005-03-01,2.51,6.15,1,-3.19721430832542e-05,2.754565150108326e-05
2005-03-02,2.47,6.21,2,-9.462055715658022e-05,8.49673202614379e-05
2005-03-03,2.47,6.25,3,-3.146013448607109e-05,2.8633675692499218e-05
2005-03-04,2.52,6.25,4,-3.109217171717171e-05,2.911173885750157e-05
2005-03-05,2.52,6.45,5,-3.2591540404040405e-05,3.06811048336472e-05
2005-03-06,2.48,6.45,6,-3.328544061302683e-05,3.002793296089385e-05
2005-03-07,2.52,6.45,0,-3.2591540404040405e-05,3.035268414481898e-05
2005-03-08,2.47,6.5,1,-3.386167146974063e-05,3.057889822595705e-05
2005-03-09,2.48,6.4,2,-9.746168582375477e-05,8.891992551210429e-05
2005-03-10,2.53,6.38,3,-3.186968838526912e-05,2.9968701095461656e-05
2005-03-11,2.5,6.32,4,-3.190476190476191e-05,2.87037037037037e-05
2005-03-12,2.56,6.37,5,-3.128901373283395e-05,2.9089506172839502e-05
2005-03-13,2.58,6.37,6,-3.0959031657355685e-05,2.9089506172839502e-05
2005-03-14,2.59,6.36,0,-3.071804394924173e-05,2.869858809085329e-05
2005-03-15,2.63,6.3,1,-3.014998469543924e-05,2.7625986642380078e-05
2005-03-16,2.66,6.35,2,-8.857012750455374e-05,7.956560283687943e-05
2005-03-17,2.73,6.37,3,-2.8596961572832892e-05,2.666962174940899e-05
2005-03-18,2.7,6.35,4,-2.9279279279279274e-05,2.5950292397660816e-05
2005-03-19,2.71,6.35,5,-2.837675950883498e-05,2.58092738407699e-05
2005-03-20,2.73,6.35,6,-2.807566279416145e-05,2.5950292397660816e-05
2005-03-21,2.72,6.31,0,-2.8599163679808834e-05,2.5378126817917394e-05
2005-03-22,2.77,6.35,1,-2.7483053345122313e-05,2.525252525252525e-05
2005-03-23,2.78,6.27,2,-8.134920634920635e-05,7.567804024496936e-05
2005-03-24,2.77,6.3,3,-2.7483053345122313e-05,2.4891774891774894e-05
2005-03-25,2.74,6.15,4,-2.6440879382055846e-05,2.3943865740740745e-05
2005-03-26,2.75,6.0,5,-2.7037037037037037e-05,2.2727272727272726e-05
2005-03-27,2.75,6.0,6,-2.7037037037037037e-05,2.2727272727272726e-05
2005-03-28,2.74,6.0,0,-2.7183600713012476e-05,2.28587962962963e-05
2005-03-29,2.78,5.9,1,-2.586713697824809e-05,2.1876799078871623e-05
2005-03-30,2.72,6.0,2,-7.683691756272401e-05,6.937172774869111e-05
2005-03-31,2.72,5.9,3,-2.561230585424134e-05,2.239674229203025e-05
2005-04-01,2.78,6.0,4,-2.5132275132275137e-05,2.259643062751871e-05
2005-04-02,2.76,5.95,5,-2.504432624113476e-05,2.2497106481481488e-05
2005-04-03,2.76,5.95,6,-2.504432624113476e-05,2.2497106481481488e-05
2005-04-04,2.74,5.96,0,-2.540106951871657e-05,2.2569444444444443e-05
2005-04-05,2.77,5.95,1,-2.4535809018567638e-05,2.2366522366522368e-05
2005-04-06,2.76,5.97,2,-7.557624113475178e-05,6.871727748691098e-05
